MISPAR RECHEV|TAARICH HAFAKAT TAG|SUG TAV
1024210|20190826|1
1024223|20190826|1
1024232|20191117|1
1024284|20191010|1
1024320|20190826|1
1024468|20190826|2
1024473|20191028|1
1024572|20190826|2
1024584|20191111|1
1024620|20190826|1
1024652|20190705|1
1024661|20190826|1
1024732|20181017|1
1024960|20171226|1
1024975|20191124|1
1025031|20190826|1
1025038|20190826|1
1025052|20190826|1
1025060|20170731|1
1025175|20190813|2
1025235|20190328|1
1025266|20190826|1
1025271|20191211|1
1025284|20190908|1
1025311|20190520|1
1025338|20190826|1
1025368|20190826|1
1025372|20190408|1
1025466|20190826|1
1025471|20190710|1
1025487|20190826|1
1025523|20200109|1
1025550|20190826|1
1025550|20190826|1
1025552|20191117|1
1025560|20190826|1
1025561|20190826|1
1025571|20191029|1
1025671|20190630|1
1025684|20190826|1
1025834|20191201|1
1025872|20191105|2
1025934|20190826|1
1025971|20190828|2
1025973|20190910|1
1025987|20190826|1
1026010|20191119|1
1026071|20190728|1
1026075|20191007|1
1026131|20170820|1
1026175|20171119|1
1026231|20190826|1
1026231|20190311|1
1026237|20190826|1
1026268|20190826|1
1026273|20170730|1
1026375|20190529|1
1026432|20190826|1
1026462|20190115|1
1026471|20190723|1
1026534|20190729|1
1026571|20190826|1
1026662|20191224|2
1026710|20190826|1
1026756|20190826|1
1026784|20190502|1
1026811|20191118|1
1026885|20190826|2
1026933|20190604|1
1026934|20190213|1
1026937|20190307|1
1026961|20191022|1
1026968|20190826|1
1026987|20190826|1
1027033|20191218|1
1027152|20180226|1
1027272|20171211|1
1027332|20181004|1
1027364|20190826|1
1027373|20190908|1
1027452|20190826|1
1027462|20190707|2
1027587|20190627|2
1027630|20190826|1
1027637|20190728|1
1027768|20190826|1
1027860|20191121|1
1027885|20190826|1
1027975|20190826|2
1028160|20190724|2
1028172|20190826|1
1028268|20181118|1
1028271|20190826|1
1028275|20190331|1
1028331|20190826|1
1028360|20200101|1
1028385|20180506|1
1028485|20190911|1
1028487|20190926|1
1028538|20190705|1
1028552|20190826|1
1028587|20190826|1
1028787|20190826|1
1028852|20180710|1
1028934|20191210|1
1029031|20190826|1
1029032|20190729|1
1029132|20190929|1
1029138|20190522|1
1029206|20200109|1
1029252|20190826|1
1029332|20190826|1
1029456|20190826|1
1029461|20190903|1
1029535|20190521|1
1029536|20190826|1
1029538|20171026|1
1029575|20190826|1
1029614|20190826|1
1029637|20161212|1
1029662|20190313|1
1029668|20190826|1
1029785|20190826|2
1029811|20191121|1
1029911|20170315|1
1030037|20190213|1
1030068|20191111|1
1030085|20190401|1
1030132|20190826|1
1030167|20191120|1
1030185|20191229|1
1030261|20190826|1
1030264|20190212|1
1030285|20190702|1
1030376|20190410|1
1030414|20190826|1
1030437|20191230|1
1030552|20190826|1
1030611|20181120|1
1030668|20191124|1
1030687|20190506|1
1030752|20170716|1
1030852|20190826|1
1030934|20190826|2
1031079|20180704|1
1031131|20191024|1
1031214|20191030|2
1031231|20190826|1
1031252|20190523|1
1031332|20190826|1
1031337|20190704|1
1031364|20190826|1
1031438|20190826|1
1031456|20170525|1
1031466|20190826|1
1031487|20190428|1
1031561|20190826|1
1031652|20191105|1
1031652|20191105|1
1031652|20171226|1
1031676|20191111|1
1031687|20191208|1
1031752|20190826|1
1031776|20190402|1
1031837|20190604|1
1031950|20180416|1
1032038|20170828|1
1032137|20191225|1
1032256|20181029|1
1032260|20190826|2
1032273|20191003|1
1032275|20190520|1
1032351|20190926|1
1032533|20190418|1
1032571|20190910|1
1032572|20190610|1
1032752|20191201|1
1032756|20180409|1
1032778|20180627|2
1032778|20191107|2
1032832|20191204|1
1032961|20180412|1
1032967|20190729|1
1033037|20190618|1
1033064|20190220|1
1033066|20191106|1
1033231|20190731|2
1033238|20190826|1
1033285|20190826|1
1033287|20190826|1
1033332|20190519|1
1033431|20191231|2
1033471|20190826|1
1033478|20190115|1
1033538|20190826|1
1033566|20190826|1
1033573|20190826|1
1033738|20190826|1
1033752|20191209|1
1033762|20191209|1
1033767|20190903|1
1033772|20190826|1
1033872|20191114|1
1033911|20190804|1
1033952|20190826|1
1033968|20190826|1
1033975|20190826|1
1034032|20190826|1
1034038|20190604|1
1034138|20190826|1
1034156|20200109|1
1034185|20190826|1
1034311|20190826|1
1034452|20190811|1
1034456|20170914|1
1034466|20191117|1
1034573|20190826|1
1034576|20190826|1
1034578|20190826|1
1034664|20190826|1
1034676|20190826|1
1034684|20190826|1
1034710|20181106|1
1034751|20190826|1
1034778|20190101|1
1034785|20190826|1
1034787|20190826|2
1034831|20190826|2
1034860|20190826|1
1034885|20191010|1
1034950|20191111|1
1034950|20190826|1
1034976|20190826|1
1035034|20190705|1
1035076|20190826|2
1035152|20190227|1
1035185|20190826|1
1035231|20190826|1
1035275|20190826|1
1035287|20190902|1
1035361|20190702|1
1035375|20190614|1
1035468|20190826|1
1035633|20190619|1
1035687|20190826|1
1035711|20190627|1
1035787|20190826|2
1035864|20190702|1
1035873|20180729|1
1035961|20180312|1
1035968|20190908|1
1036051|20190826|1
1036087|20190826|1
1036166|20190317|1
1036262|20191125|1
1036362|20180816|1
1036410|20190826|1
1036756|20190826|1
1036832|20190826|1
1036852|20190826|1
1036933|20190826|1
1036984|20190306|1
1037037|20190922|1
1037060|20190826|1
1037062|20190526|1
1037072|20190826|1
1037110|20171101|1
1037132|20190826|1
1037172|20191119|1
1037184|20190812|1
1037450|20190826|1
1037487|20190826|2
1037585|20190606|1
1037734|20190806|1
1037752|20191225|1
1037768|20190624|1
1037775|20180215|1
1037776|20190602|1
1037856|20170509|1
1037862|20190826|1
1037871|20190804|1
1037885|20190812|1
1037956|20191230|1
1037968|20190826|1
1037985|20190826|1
1037987|20190808|1
1038061|20190826|1
1038068|20180522|1
1038085|20190826|2
